Community ,Name,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16,SP17,SP18,SP19,SP20,SP21,SP22,SP23,SP24,SP25,SP26,SP27,SP28,SP29,SP30
A,Erica,1,2,1,2,1,2,2,2,1,1,1,1,2,5,1,5,1,0,2,2,1,1,4,2,0,3,2,4,5,2
A,Lauren,0,4,3,0,3,2,1,2,1,1,5,4,1,3,1,1,1,0,1,0,3,1,1,1,1,2,2,2,0,1
A,Atalanta,2,0,1,0,0,6,0,0,2,1,1,2,1,3,1,1,2,0,1,2,1,2,0,2,2,5,3,2,1,2
A,Anna,0,4,0,4,5,1,4,0,1,0,3,3,4,2,0,4,0,2,2,2,1,0,2,4,3,2,2,2,0,4
B,Joy,11,3,2,1,4,2,5,0,4,5,4,4,4,4,2,2,4,1,0,1,0,0,0,1,0,0,0,0,0,1
B,Thomas,9,10,5,10,3,1,0,1,3,0,1,1,0,4,4,1,4,4,0,1,3,2,1,0,1,1,0,1,1,2
B,Jonathan,7,16,2,1,4,2,0,5,4,2,1,4,1,1,0,2,3,3,0,6,1,1,0,1,1,3,2,0,0,3
B,Madison,11,8,6,3,4,1,2,4,4,5,1,3,3,3,2,3,1,2,2,0,3,2,1,1,0,0,0,1,1,0
